region_name,county_name,parish_name,candidate_name,candidate_votes_percentage,candidate_votes_count,parish_voters_percentage,parish_voters_count,parish_blank_percentage,parish_blank_count,parish_null_percentage,parish_null_count
Açores,Horta,Flamengos,Marisa Matias,4.6,22,35.44,493,2.03,10,1.01,5
Açores,Horta,Flamengos,Vitorino Silva,2.72,13,35.44,493,2.03,10,1.01,5
Açores,Horta,Flamengos,Tiago Mayan Gonçalves,2.51,12,35.44,493,2.03,10,1.01,5
Açores,Horta,Flamengos,João Ferreira,1.88,9,35.44,493,2.03,10,1.01,5
Açores,Horta,Horta (Angústias),Marcelo Rebelo de Sousa,66.13,535,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),Ana Gomes,14.96,121,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),André Ventura,5.07,41,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),Marisa Matias,4.7,38,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),João Ferreira,4.57,37,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),Vitorino Silva,2.47,20,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Angústias),Tiago Mayan Gonçalves,2.1,17,38.43,835,2.51,21,0.6,5
Açores,Horta,Horta (Conceição),Marcelo Rebelo de Sousa,69.14,307,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),Ana Gomes,11.94,53,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),André Ventura,6.53,29,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),Marisa Matias,4.5,20,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),João Ferreira,4.5,20,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),Tiago Mayan Gonçalves,1.8,8,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Conceição),Vitorino Silva,1.58,7,43.66,458,1.97,9,1.09,5
Açores,Horta,Horta (Matriz),Marcelo Rebelo de Sousa,60.74,591,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),Ana Gomes,17.16,167,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),André Ventura,6.37,62,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),João Ferreira,5.55,54,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),Marisa Matias,4.73,46,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),Tiago Mayan Gonçalves,2.98,29,44.3,994,1.71,17,0.4,4
Açores,Horta,Horta (Matriz),Vitorino Silva,2.47,24,44.3,994,1.71,17,0.4,4
Açores,Horta,Pedro Miguel,Marcelo Rebelo de Sousa,73.13,166,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,André Ventura,8.81,20,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,Marisa Matias,6.17,14,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,Ana Gomes,6.17,14,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,João Ferreira,3.08,7,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,Tiago Mayan Gonçalves,2.2,5,37.62,231,1.3,3,0.43,1
Açores,Horta,Pedro Miguel,Vitorino Silva,0.44,1,37.62,231,1.3,3,0.43,1
Açores,Horta,Praia do Almoxarife,Marcelo Rebelo de Sousa,66.56,215,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,Ana Gomes,14.86,48,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,André Ventura,8.67,28,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,João Ferreira,3.41,11,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,Marisa Matias,3.1,10,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,Vitorino Silva,2.48,8,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Almoxarife,Tiago Mayan Gonçalves,0.93,3,45.73,332,2.71,9,0.0,0
Açores,Horta,Praia do Norte,Marcelo Rebelo de Sousa,83.46,111,62.84,137,2.19,3,0.73,1
Açores,Horta,Praia do Norte,André Ventura,6.77,9,62.84,137,2.19,3,0.73,1
Açores,Horta,Praia do Norte,Vitorino Silva,3.76,5,62.84,137,2.19,3,0.73,1
Açores,Horta,Praia do Norte,Ana Gomes,3.76,5,62.84,137,2.19,3,0.73,1
